연번,사업장명,소재지지번주소,소재지도로명주소,데이터기준일자
113,스타벅스 인천공항T2입국,"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 일반동 1층 (운서동)",인천광역시 중구 운서동 2868 ,2022-08-12
114,스타벅스 인천공항T2출국,"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 일반동 3층 (운서동)",인천광역시 중구 운서동 2868 ,2022-08-12
115,스타벅스 인천공항T2에어,"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 면세동 3층 (운서동)",인천광역시 중구 운서동 2868 ,2022-08-12
116,크리스피크림 인천공항T2점,"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 일반동 3층 (운서동)",인천광역시 중구 운서동 2868 ,2022-08-12
117,크리스피크림 인천공항T2에어점,"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 면세동 3층 (운서동)",인천광역시 중구 운서동 2868 ,2022-08-12
118,공차 인천공항4호점,"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 일반동 3층 (운서동)",인천광역시 중구 운서동 2868 ,2022-08-12
119,공차 인천공항5호점,"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 면세동 3층 (운서동)",인천광역시 중구 운서동 2868 ,2022-08-12
120,에어카페 T2,"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 면세동 4층 (운서동)",인천광역시 중구 운서동 2868 ,2022-08-12
121,자작나무숲,"인천광역시 중구 자유무역로107번길 20, 칼트로지스인천공항(주) 물류센터 2층 H-206호 (운서동)",인천광역시 중구 운서동 2091-104 칼트로지스인천공항(주) 물류센터 ,2022-08-12
122,투썸플레이스 인천공항여객터미널점,"인천광역시 중구 공항로 272, 인천공항제1터미널 일반동 지하1층 (운서동)",인천광역시 중구 운서동 2840 인천공항 ,2022-08-12
123,실버카페하늘마루(인천중구노인인력개발센터),"인천광역시 중구 공항로 271, 인천국제공항역 지하1층 (운서동)",인천광역시 중구 운서동 2851 인천국제공항역 지하1층 ,2022-08-12
124,블루틴(bluetin),"인천광역시 중구 용유서로 380-13, 1층 (을왕동)",인천광역시 중구 을왕동 773-70 ,2022-08-12
125,탐앤탐스 왕산점,"인천광역시 중구 용유서로423번길 9-1, 1층 일부~3층 (을왕동)",인천광역시 중구 을왕동 810-98 1층 일부~3층 ,2022-08-12
126,브라운핸즈 개항로,"인천광역시 중구 개항로 73-1, 1~4층 (경동)",인천광역시 중구 경동 232-10 1~4층 ,2022-08-12
127,스무디킹 인천공항점,"인천광역시 중구 공항로 272, 인천공항제1터미널 일반동 지하1층 (운서동)",인천광역시 중구 운서동 2840 인천공항 ,2022-08-12
128,동화마을 더치로드카페,"인천광역시 중구 동화마을안길 7, 1~2층 (송월동3가)",인천광역시 중구 송월동3가 11-33 1~2층 ,2022-08-12
129,공차 인천국제공항1호점,"인천광역시 중구 공항로 272, 인천공항제1터미널 일반동 지하1층 (운서동)",인천광역시 중구 운서동 2840 인천공항 ,2022-08-12
130,마리앙로제,"인천광역시 중구 참외전로 4, 1층 (송월동1가)",인천광역시 중구 송월동1가 13-69 1층 ,2022-08-12
131,띵크커피 인천공항점,"인천광역시 중구 공항로 272, 인천공항제1터미널 일반동 지하1층 (운서동)",인천광역시 중구 운서동 2840 인천공항 ,2022-08-12
132,오가다 인천운서역점,"인천광역시 중구 신도시남로142번길 6, 메가스타 영종 238호 (운서동)",인천광역시 중구 운서동 2803-1 메가스타 영종 238호,2022-08-12
133,손커피연구소,"인천광역시 중구 해맞이길 35, 1층 (운남동)",인천광역시 중구 운남동 1641-20 ,2022-08-12
134,메가MGC커피 영종운서역점,"인천광역시 중구 신도시남로142번길 6, 메가스타 영종 128(일부), 129호 (운서동)",인천광역시 중구 운서동 2803-1 메가스타 영종 ,2022-08-12
135,에그셀런트 영종하늘도시점,"인천광역시 중구 하늘달빛로 94, 1층 107호 일부 (중산동)",인천광역시 중구 중산동 1875-3 1층 107호 일부 ,2022-08-12
136,투썸플레이스 인천공항교통센터점,"인천광역시 중구 공항로 271, 인천공항 제1교통센터 지하1층 (운서동)",인천광역시 중구 운서동 2851 인천국제공항역 ,2022-08-12
137,빽다방 인천 월미도점,"인천광역시 중구 월미로 237, 1층 (북성동1가)",인천광역시 중구 북성동1가 98-56 1층 ,2022-08-12
138,행복나눔터 3호점,"인천광역시 중구 영종대로277번길 74-60, 인천광역시교육연수원 본관동 1층 (운서동)",인천광역시 중구 운서동 543-5 인천광역시교육연수원 ,2022-08-12
139,노루카페(삶의이야기),"인천광역시 중구 햇내로안길 44-6, 1층 (운서동)",인천광역시 중구 운서동 3031-4 ,2022-08-12
140,이디야커피(EDIYA COFFEE),"인천광역시 중구 미단소망로 60, 미단해송 1층 (운북동)",인천광역시 중구 운북동 1363-7 미단해송 ,2022-08-12
141,주니베리(Juniberry),인천광역시 중구 우현로35번길 23-1 (신생동),인천광역시 중구 신생동 2-1 ,2022-08-12
142,커피에반하다 영종운서점,"인천광역시 중구 넙디로 48, 103호 (운서동)",인천광역시 중구 운서동 2925-1 ,2022-08-12
143,카페하우스(cafeHouse),"인천광역시 중구 자유공원서로37번길 27-1, 1층 (송월동3가)",인천광역시 중구 송월동3가 15-12 ,2022-08-12
144,놀러가개 나도놀개,인천광역시 중구 운중로14번길 28 (운남동),인천광역시 중구 운남동 412-2 ,2022-08-12
145,푸디스트(주) 카페,"인천광역시 중구 공항동로2길 103, 게이트고메코리아 2층 (운서동)",인천광역시 중구 운서동 2840-13 ,2022-08-12
146,로스팅포러와일,"인천광역시 중구 우현로 79-6, 1층 (인현동)",인천광역시 중구 인현동 38 1층 ,2022-08-12
147,커피베이 영종운서점,"인천광역시 중구 영종대로 184, 영종예스타워복합상영관 7층 (운서동)",인천광역시 중구 운서동 3088-3 영종예스타워복합상영관 ,2022-08-12
148,커피에반하다(인천운남점),"인천광역시 중구 운남로 169, 1층 102,103호 (운남동)","인천광역시 중구 운남동 1514-9 102,103호 ",2022-08-12
149,나인인치커피,"인천광역시 중구 논골3길 27, 2호 (운북동)",인천광역시 중구 운북동 1257-44 2호,2022-08-12
150,인천서점,"인천광역시 중구 제물량로218번길 3, 인천아트플랫폼 1층 (해안동1가)",인천광역시 중구 해안동1가 1-5 인천아트플랫폼(커뮤니티관) 1층 ,2022-08-12
151,목현,"인천광역시 중구 화랑목로 50-9, 1층 (운서동)",인천광역시 중구 운서동 3036-7 ,2022-08-12
152,끌당,"인천광역시 중구 인중로144번길 41, 1층 (신생동)",인천광역시 중구 신생동 33-6 1층 ,2022-08-12
153,EGG DROP 신포점,"인천광역시 중구 개항로 33, 1층 (내동)",인천광역시 중구 내동 102 1층 ,2022-08-12
154,이디야커피(답동지점),"인천광역시 중구 제물량로 128, 1층 (답동)",인천광역시 중구 답동 11-13 1층 ,2022-08-12
155,cafe in caritas(카페인카리타스),"인천광역시 중구 답동로 23, 천주교인천교구사회복지센터 1층 (경동)",인천광역시 중구 경동 229-3 천주교인천교구사회복지센터 ,2022-08-12
156,아모르카페,"인천광역시 중구 답동로30번길 10, 인천기독병원 B동 1층 (율목동)",인천광역시 중구 율목동 237-3 인천기독병원 B동 ,2022-08-12
157,전통찻집 마실,"인천광역시 중구 햇내로안길 18-3, 104(일부)호 (운서동)",인천광역시 중구 운서동 3039-12 ,2022-08-12
158,맘스케익 영종도운서점,"인천광역시 중구 운서로7번길 7, 101호 (운서동)",인천광역시 중구 운서동 3060-30 ,2022-08-12
159,시월애숲,인천광역시 중구 운남로 94 (운남동),인천광역시 중구 운남동 208-3 ,2022-08-12
160,오카드코히,"인천광역시 중구 자유공원로 30-2, 1층 (전동)",인천광역시 중구 전동 19-34 1층 ,2022-08-12
161,카페아이싱,"인천광역시 중구 개항로96번길 31, 1층 (율목동)",인천광역시 중구 율목동 33 1층 ,2022-08-12
162,브알라 인천국제공항 2호점,"인천광역시 중구 공항로 272, 인천공항 일반동 4층 (운서동)",인천광역시 중구 운서동 2840 인천공항 ,2022-08-12
163,꽁커피,"인천광역시 중구 신포로27번길 61, 1층 (중앙동2가)",인천광역시 중구 중앙동2가 12 1층 ,2022-08-12
164,유니커스 (UNIQUS),"인천광역시 중구 운남서로 74, 1층 (운남동)",인천광역시 중구 운남동 1536 ,2022-08-12
165,카페건,"인천광역시 중구 하늘달빛로2번길 8, 씨사이드파크 카페테리아 2층 (중산동)",인천광역시 중구 중산동 1967-1 씨사이드파크 카페테리아 ,2022-08-12
166,투썸플레이스 인천공항물류단지점,"인천광역시 중구 자유무역로 25, C6블럭 사무동 1층 (운서동)",인천광역시 중구 운서동 3170-6 ,2022-08-12
167,더숲190,"인천광역시 중구 영종대로 190, 더 예스 스카이 1층 106~109호 (운서동)",인천광역시 중구 운서동 3088-7 더 예스 스카이 1층 106~109호 ,2022-08-12
168,메가엠지씨커피 영종하늘도시점,"인천광역시 중구 하늘중앙로195번길 14, 134호 (중산동)",인천광역시 중구 중산동 1884-1 ,2022-08-12
169,메가엠지씨커피 인천차이나타운점,"인천광역시 중구 차이나타운로 25, 지하3층 (북성동3가)",인천광역시 중구 북성동3가 3-8 지하3층 ,2022-08-12
