단속일시,단속원금,단속동,단속장소,위반내용,견인지시,경도,위도,행정동코드,행정동명
2023-03-15 19:49,32000,광장동,광장 힐스테이 상가 건너편,주차금지(황색점선)구역,미견인,123.7417741,32.5220203,,
2023-03-15 19:56,40000,구의동,서울 광진구 구의동 29-18,교통소통장애,견인처리,127.091665,37.5531134,1121586000,구의2동
2023-03-15 19:58,32000,화양동,서울특별시 광진구 아차산로 187,교통소통장애,미견인,127.0646823,37.5423695,1121571000,화양동
2023-03-15 20:02,32000,화양동,건대입구 3번 출구 앞,주정차금지(황색실선)구역,미견인,123.7417741,32.5220203,,
2023-03-15 20:09,32000,구의동,서울 광진구 구의동 546-3,교통소통장애,미견인,127.0946828,37.5356653,1121587000,구의3동
2023-03-15 20:12,32000,자양동,서울특별시 광진구 자양번영로3나길 34,교통소통장애,미견인,127.0732816,37.5305525,1121584000,자양3동
2023-03-15 20:13,32000,자양동,서울특별시 광진구 자양번영로3나길 34,교통소통장애,미견인,127.0732816,37.5305525,1121584000,자양3동
2023-03-15 20:22,32000,자양동,더라움펜트하우스 앞,주정차금지(황색실선)구역,미견인,123.7417741,32.5220203,,
2023-03-15 20:24,32000,구의동,서울 광진구 구의동 48-11,교통소통장애,견인처리,127.0928817,37.5517081,1121586000,구의2동
2023-03-15 20:25,32000,자양동,서울 광진구 자양동 712,버스정류소,미견인,127.0760508,37.5344487,1121582000,자양1동
2023-03-15 20:32,32000,구의동,구의동 웰츠타워 앞,횡단보도,미견인,127.0931368,37.5502684,,
2023-03-15 20:33,32000,능동,서울 광진구 능동 18-47,보도,미견인,127.0750723,37.5486235,1121578000,능동
2023-03-15 20:34,32000,광장동,SK강평주유소 앞,주차금지(황색점선)구역,미견인,123.7417741,32.5220203,,
2023-03-15 20:34,32000,구의동,서울특별시 광진구 구의로 65,도로 모퉁이,미견인,127.0902283,37.5437495,1121585000,구의1동
2023-03-15 20:55,32000,광장동,서울특별시 광진구 아차산로66길 70,교통소통장애,미견인,127.1005159,37.5417649,1121581000,광장동
2023-03-15 21:34,32000,광장동,453-7,횡단보도,미견인,123.7417741,32.5220203,,
2023-03-15 21:36,32000,광장동,453-7,교차로,미견인,123.7417741,32.5220203,,
2023-03-15 21:40,40000,광장동,486-1,교차로,미견인,123.7417741,32.5220203,,
2023-03-15 22:33,32000,화양동,서울 광진구 화양동 31-73 가게앞,주차금지(황색점선)구역,미견인,127.0676475,37.5459701,1121571000,화양동
2023-03-15 22:34,32000,화양동,서울 광진구 화양동 31-73 가게앞,도로 모퉁이,미견인,127.0676475,37.5459701,1121571000,화양동
2023-03-15 23:04,32000,자양동,서울 광진구 자양동 550-2,안전지대,미견인,127.0683841,37.5349742,1121584000,자양3동
2023-03-15 23:09,32000,자양동,서울 광진구 자양동 553-606,보도,미견인,127.0673425,37.5359391,1121584700,자양4동
2023-03-15 23:34,32000,광장동,566,버스정류소,미견인,123.7417741,32.5220203,,
2023-03-15 23:50,40000,자양동,서울특별시 광진구 뚝섬로 513 보행로,보도,미견인,127.0674246,37.5357054,1121584700,자양4동
2023-03-16 2:00,32000,중곡동,서울 광진구 중곡동 437-8 주정차금지구역,주차금지(황색점선)구역,미견인,127.0942217,37.5569445,1121577000,중곡4동
2023-03-16 2:05,32000,중곡동,서울 광진구 중곡동 440 도로모퉁이,횡단보도,미견인,127.0921197,37.5557479,1121577000,중곡4동
2023-03-16 7:00,32000,중곡동,서울 광진구 중곡동 482-1 도로모퉁이,횡단보도,미견인,127.0940772,37.5595294,1121577000,중곡4동
2023-03-16 7:05,32000,중곡동,서울 광진구 중곡동 482-4 삭선자리 횡단보도,버스정류소,미견인,127.0899764,37.5588851,1121577000,중곡4동
2023-03-16 7:07,32000,중곡동,서울 광진구 중곡동 482-4,횡단보도,미견인,127.0899764,37.5588851,1121577000,중곡4동
2023-03-16 7:08,32000,중곡동,서울 광진구 중곡동 482-4 도로모퉁이,횡단보도,미견인,127.0899764,37.5588851,1121577000,중곡4동
2023-03-16 7:13,40000,중곡동,하이프라자 광진군자점 인근,주정차금지(황색실선)구역,미견인,127.0822052,37.538209,,
2023-03-16 7:15,32000,자양동,서울 광진구 자양동 714,횡단보도,미견인,127.0813135,37.5343366,1121582000,자양1동
2023-03-16 7:15,40000,중곡동,중곡지구대 앞,주차금지(황색점선)구역,미견인,123.7417741,32.5220203,,
2023-03-16 7:34,32000,중곡동,MB모터스 옆,주차금지(황색점선)구역,미견인,123.7417741,32.5220203,,
2023-03-16 7:57,32000,구의동,동서울터미널 주차장 앞,주정차금지(황색실선)구역,미견인,126.9778779,37.5664106,,
2023-03-16 8:02,96000,군자동,노인종합복지관 앞,주차금지(황색점선)구역,미견인,123.7417741,32.5220203,,
2023-03-16 8:05,32000,중곡동,태양주유소 앞,주차금지(황색점선)구역,미견인,127.0458496,37.7852257,,
2023-03-16 8:07,32000,자양동,서울 광진구 자양동 724,교통소통장애,미견인,127.0893478,37.5370569,1121587000,구의3동
2023-03-16 8:20,96000,자양동,서울특별시 광진구 자양로5길 22,주차방법위반,미견인,127.0846181,37.5315059,1121583000,자양2동
2023-03-16 8:22,96000,자양동,서울특별시 광진구 자양로5길 22,주차방법위반,미견인,127.0846181,37.5315059,1121583000,자양2동
2023-03-16 8:23,96000,자양동,서울특별시 광진구 자양로5길 22,주차금지(황색점선)구역,미견인,127.0846181,37.5315059,1121583000,자양2동
2023-03-16 8:24,32000,능동,256-16,보도,미견인,123.7417741,32.5220203,,
2023-03-16 8:30,32000,자양동,서울 광진구 자양동 718,소화전,미견인,127.0761474,37.5330348,1121583000,자양2동
2023-03-16 8:43,40000,자양동,서울 광진구 자양동 203-5,교통소통장애,견인처리,127.0609921,37.53615,1121584700,자양4동
2023-03-16 8:55,32000,구의동,서울 광진구 구의동 587-53,교통소통장애,미견인,127.0914544,37.5368929,1121587000,구의3동
2023-03-16 8:56,96000,구의동,서울 광진구 구의동 587-53,교통소통장애,미견인,127.0914544,37.5368929,1121587000,구의3동
2023-03-16 8:59,32000,화양동,서울 광진구 화양동 499-72,주정차금지(황색실선)구역,미견인,127.0742798,37.5459052,1121571000,화양동
2023-03-16 9:07,40000,중곡동,서울 광진구 중곡동 248-29,교통소통장애,미견인,127.0769125,37.5627483,1121574000,중곡1동
2023-03-16 9:08,32000,중곡동,서울 광진구 중곡동 248-29,교통소통장애,미견인,127.0769125,37.5627483,1121574000,중곡1동
2023-03-16 9:15,32000,구의동,강변역 4번 출구,주차금지(황색점선)구역,미견인,123.7417741,32.5220203,,
2023-03-16 9:16,32000,광장동,서울 광진구 광장동 549-13,교통소통장애,미견인,127.1103109,37.5497683,1121581000,광장동
2023-03-16 9:17,32000,광장동,서울 광진구 광장동 549-13,교통소통장애,미견인,127.1103109,37.5497683,1121581000,광장동
2023-03-16 9:27,32000,광장동,올림픽대교북단사거리,주차금지(황색점선)구역,미견인,123.7417741,32.5220203,,
2023-03-16 9:29,32000,구의동,서울 광진구 구의동 203-28,도로 모퉁이,미견인,127.0918937,37.5435911,1121587000,구의3동
2023-03-16 9:45,32000,자양동,자양동 동제한의원 앞,주차금지(황색점선)구역,미견인,127.0730259,37.5311001,3011059000,자양동
2023-03-16 9:53,32000,능동,서울 광진구 능동 18-14,교통소통장애,미견인,127.0836943,37.5459696,1121578000,능동
2023-03-16 9:58,32000,화양동," 서울특별시 광진구 능동로 216 (능동, 어린이대공원) ",교통소통장애,미견인,127.0817308,37.5492071,1121578000,능동
2023-03-16 10:07,32000,구의동,구의동 웰츠타워 앞,교통소통장애,미견인,127.0931368,37.5502684,,
2023-03-16 10:28,32000,자양동,서울특별시 광진구 자양번영로1길 43,도로 모퉁이,미견인,127.0722186,37.5305081,1121584000,자양3동
2023-03-16 10:29,32000,자양동,서울특별시 광진구 자양번영로1길 43,교통소통장애,미견인,127.0722186,37.5305081,1121584000,자양3동
2023-03-16 10:45,32000,중곡동,신성슈퍼마켓 앞,주차금지(황색점선)구역,미견인,123.7417741,32.5220203,,
2023-03-16 10:55,32000,화양동,건대입구 1번 출구 앞,안전지대,미견인,123.7417741,32.5220203,,
2023-03-16 10:57,32000,중곡동,서울 광진구 중곡동 265-5,교통소통장애,미견인,127.0816194,37.5638212,1121574000,중곡1동
2023-03-16 10:58,32000,중곡동,서울 광진구 중곡동 265-5,교통소통장애,미견인,127.0816194,37.5638212,1121574000,중곡1동
2023-03-16 11:01,32000,자양동,건대역약국 앞,주차금지(황색점선)구역,미견인,123.7417741,32.5220203,,
2023-03-16 11:06,32000,구의동,국민은행 앞,주차금지(황색점선)구역,미견인,123.7417741,32.5220203,,
2023-03-16 11:06,96000,중곡동,서울 광진구 중곡동 165-24,교통소통장애,미견인,127.0824682,37.5638278,1121574000,중곡1동
2023-03-16 11:09,120000,중곡동,서울 광진구 중곡동 165-8,교통소통장애,미견인,127.0824843,37.5634405,1121574000,중곡1동
2023-03-16 11:34,40000,구의동,리젠트오피스텔건너편,교통소통장애,미견인,123.7417741,32.5220203,,
2023-03-16 11:52,32000,구의동,아차산역 5번출구 앞,주차금지(황색점선)구역,미견인,123.7417741,32.5220203,,
2023-03-16 11:58,32000,군자동,두산위브 앞,주차금지(황색점선)구역,미견인,123.7417741,32.5220203,,
2023-03-16 12:15,32000,광장동,SK강평주유소 앞,주차금지(황색점선)구역,미견인,123.7417741,32.5220203,,
2023-03-16 12:55,32000,구의동,구의동 웰츠타워 앞,주정차금지(황색실선)구역,미견인,127.0931368,37.5502684,,
2023-03-16 13:03,32000,중곡동,군자역 1번명품갤러리앞,주정차금지(황색실선)구역,미견인,123.7417741,32.5220203,,
2023-03-16 13:04,32000,광장동,SK강평주유소 앞,주차금지(황색점선)구역,미견인,123.7417741,32.5220203,,
2023-03-16 13:40,32000,구의동,서울 광진구 구의동 547-6,도로 모퉁이,미견인,127.0936707,37.5332787,1121587000,구의3동
2023-03-16 13:41,32000,자양동,서울 광진구 자양동 17-5,주차구획선외 주차,미견인,127.0647846,37.5414332,1121584700,자양4동
2023-03-16 13:42,32000,구의동,서울 광진구 구의동 547-6,도로 모퉁이,미견인,127.0936707,37.5332787,1121587000,구의3동
2023-03-16 13:46,32000,중곡동,서울 광진구 중곡동 266-5,교통소통장애,미견인,127.0879663,37.5575811,1121577000,중곡4동
2023-03-16 13:50,32000,자양동,680-27,보도,미견인,123.7417741,32.5220203,,
2023-03-16 13:50,40000,군자동,군자 메가박스 앞,주차금지(황색점선)구역,미견인,123.7417741,32.5220203,,
2023-03-16 13:54,32000,능동,서울 광진구 능동 257-26,교통소통장애,미견인,127.0882343,37.552303,1121578000,능동
2023-03-16 13:58,40000,구의동,리젠트오피스텔건너편,교통소통장애,미견인,123.7417741,32.5220203,,
